RSSI:-65,Distance: 1.0Time difference: 1488143640377
RSSI:-70,Distance: 1.0Time difference: 1488143640588
RSSI:-67,Distance: 1.0Time difference: 1488143640793
RSSI:-72,Distance: 1.0Time difference: 1488143641002
RSSI:-72,Distance: 1.0Time difference: 1488143641002
RSSI:-71,Distance: 1.0Time difference: 1488143641425
RSSI:-71,Distance: 1.0Time difference: 1488143641425
RSSI:-71,Distance: 1.0Time difference: 1488143641425
RSSI:-73,Distance: 1.0Time difference: 1488143642149
RSSI:-73,Distance: 1.0Time difference: 1488143642149
RSSI:-70,Distance: 1.0Time difference: 1488143642564
RSSI:-70,Distance: 1.0Time difference: 1488143642778
RSSI:-68,Distance: 1.0Time difference: 1488143642996
RSSI:-64,Distance: 1.0Time difference: 1488143643202
RSSI:-64,Distance: 1.0Time difference: 1488143643202
RSSI:-64,Distance: 1.0Time difference: 1488143643202
RSSI:-70,Distance: 1.0Time difference: 1488143643926
RSSI:-63,Distance: 1.0Time difference: 1488143644132
RSSI:-67,Distance: 1.0Time difference: 1488143644341
RSSI:-70,Distance: 1.0Time difference: 1488143644544
RSSI:-70,Distance: 1.0Time difference: 1488143644750
RSSI:-70,Distance: 1.0Time difference: 1488143644750
